municipio_id,ibi_urbana_rd_20_2011,year
6026,2012,1
6027,2012,0.72
6028,2012,0.7
6029,2012,0.6
6030,2012,0.1
6031,2012,0.62
6032,2012,0.56
6033,2012,0.825
6034,2012,0.4
6035,2012,0
6036,2012,0.803
6037,2012,0.7
6038,2012,0.7
6039,2012,0.43
6040,2012,0.56
6041,2012,0.5
6042,2012,0.738
6043,2012,0.6
6044,2012,0.66
6045,2012,0.56
6046,2012,0.792
6047,2012,0.68
6048,2012,0.6
6049,2012,0.742
6050,2012,0.6968
6051,2012,0.77
6052,2012,0.645
6053,2012,0.88
6054,2012,0.77
6055,2012,0.832
6056,2012,0.5
6057,2012,0.7
6058,2012,0.605
6059,2012,0.69
6060,2012,0.52
6061,2012,0.47
6062,2012,0.5
6063,2012,0.528
6064,2012,0.56
6065,2012,0.7
6066,2012,0.6
6067,2012,0.676
6068,2012,0.79
6069,2012,0.5
6070,2012,0.77
6071,2012,0.83
6072,2012,0.77
6073,2012,0.65
6074,2012,0.9
6075,2012,0.46
6076,2012,0.636
6077,2012,0.4
6078,2012,0.58
6079,2012,0.795
6080,2012,0.682
6081,2012,0.716
6082,2012,0.58
6083,2012,0.7696
6084,2012,0.72
6085,2012,0.614
6086,2012,0.52
6087,2012,0.954
6088,2012,0.671
6089,2012,0.66
6090,2012,0.59
6091,2012,0.715
6092,2012,0.65
6093,2012,0.6
6094,2012,0.7
6095,2012,0.836
6096,2012,0.5
6097,2012,0.671
6098,2012,0.86
6099,2012,0.82
6100,2012,0.4
6101,2012,0.64
6102,2012,0.605
6103,2012,0.825
6104,2012,0.86
6105,2012,0.75
6106,2012,0.6
6107,2012,0.46
6108,2012,0.75
6109,2012,0.7
6110,2012,0.65
6111,2012,0.61
6112,2012,0.78
6113,2012,0.65
6114,2012,0.5
6115,2012,0.52
6116,2012,0.67
6117,2012,0.8
6118,2012,0.7
6119,2012,0.75
6120,2012,0.69
6121,2012,0.798
6122,2012,0.88
6123,2012,0.8
6124,2012,0.61
6125,2012,0.5
6126,2012,0.65
6127,2012,0.65
6128,2012,0.7
6129,2012,0.645
6130,2012,0.5
6131,2012,0.7
6132,2012,0.55
6133,2012,0.742
6134,2012,0.5
6135,2012,0.531
6136,2012,0.5
6137,2012,0.53
6138,2012,0.649
6139,2012,0.7
6140,2012,0.593
6141,2012,0.728
6142,2012,0.52
6143,2012,0.63
6144,2012,0.61
6145,2012,0.4
6146,2012,0.48
6147,2012,0.6
6148,2012,0.52
